postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,age,weekends,profitable
2023,1,Renewals,290,0,290,61,4,1
2023,9,Acq,244,16,260,,4,1
2023,1,Renewals,200,0,200,,4,1
2023,1,Renewals,190,0,190,,4,1
2023,9,Acq,165,0,165,,4,1
2023,1,Renewals,150,0,150,,4,1
2023,9,Acq,100,0,100,,4,1
2023,1,Acq,40,60,100,,4,1
2023,1,Acq,100,0,100,,4,1
2023,1,Renewals,100,0,100,,4,1
2023,9,Acq,65,0,65,75,4,0
2023,1,Acq,50,0,50,,4,0
2023,1,Acq,0,50,50,,4,0
2023,1,Acq,32,0,32,51,4,0
2024,9,Acq,200,0,200,53,4,1
2024,2,Acq,175,0,175,,4,1
2024,1,Acq,20,80,100,,4,1
2024,1,Acq,100,0,100,56,4,1
2024,9,Acq,92,8,100,,4,1
2024,1,Acq,80,0,80,73,4,1
2024,1,Acq,58,0,58,56,4,0
2024,9,Acq,51,0,51,,4,0
2024,9,Acq,50,0,50,,4,0
2024,9,Acq,0,50,50,,4,0
2024,9,Acq,40,0,40,28,4,0
2024,9,Acq,20,0,20,,4,0
2024,1,Renewals,20,0,20,,4,0
2025,1,Renewals,450,0,450,84,4,1
2025,1,Acq,400,0,400,87,4,1
2025,1,Renewals,245,0,245,60,4,1
2025,9,Acq,121.2,0,121.2,,4,1
2025,1,Acq,100,0,100,,4,1
2025,9,Acq,100,0,100,,4,1
2025,9,Acq,54.3,40,94.3,16,4,1
2025,1,Renewals,87,0,87,,4,1
2025,1,Renewals,85,0,85,,4,1
2025,1,Acq,75,0,75,,4,0
2025,1,Acq,52,0,52,72,4,0
2025,1,Renewals,0,50,50,,4,0
2025,1,Renewals,32,0,32,,4,0
2026,9,Acq,0,500,500,74,4,1
2026,1,Acq,482,0,482,,4,1
2026,1,Renewals,150,100,250,,4,1
2026,1,Renewals,199,0,199,76,4,1
2026,1,Acq,150,0,150,62,4,1
2026,1,Acq,103.9,25,128.9,,4,1
2026,1,Renewals,105,0,105,,4,1
2026,1,Renewals,102,0,102,,4,1
2026,9,Acq,100,0,100,56,4,1
2026,1,Acq,100,0,100,,4,1
2026,1,Acq,100,0,100,,4,1
2026,1,Acq,100,0,100,65,4,1
2026,1,Acq,69.45,30.55,100,57,4,1
2026,1,Acq,93.7,0,93.7,,4,1
2026,1,Acq,90,0,90,63,4,1
2026,1,Acq,85,0,85,,4,1
2026,1,Acq,72,0,72,,4,0
2026,1,Acq,65,0,65,,4,0
2026,1,Renewals,64,0,64,,4,0
2026,9,Acq,57,0,57,,4,0
2026,1,Renewals,56.65,0,56.65,68,4,0
2026,1,Acq,0,50,50,,4,0
2026,1,Renewals,0,50,50,,4,0
2026,1,Renewals,45,0,45,65,4,0
2026,1,Acq,0,30,30,,4,0
2026,9,Acq,26,0,26,79,4,0
2026,1,Acq,20,0,20,,4,0
2026,9,Acq,20,0,20,,4,0
2026,9,Acq,0,5,5,78,4,0
2027,10,Renewals,1200,0,1200,,4,1
2027,1,Acq,530,0,530,,4,1
2027,1,Renewals,205,0,205,,4,1
2027,1,Acq,140,0,140,,4,1
2027,1,Acq,90,0,90,67,4,1
2027,1,Renewals,80,0,80,86,4,1
2027,9,Acq,66.05,0,66.05,,4,0
2028,1,Renewals,135,500,635,72,4,1
2028,1,Renewals,124,0,124,83,4,1
2028,1,Acq,70,0,70,,4,0
2028,9,Acq,0,50,50,,4,0
2028,1,Acq,0,10,10,,4,0
2029,1,Renewals,344,0,344,78,4,1
2029,1,Renewals,243.05,0,243.05,64,4,1
2029,1,Acq,235,0,235,57,4,1
2029,1,Renewals,235,0,235,68,4,1
2029,1,Renewals,155,0,155,,4,1
2029,1,Renewals,125,0,125,,4,1
2029,9,Acq,60,50,110,,4,1
2029,1,Acq,110,0,110,66,4,1
2029,1,Renewals,110,0,110,,4,1
2029,1,Acq,102,0,102,,4,1
2029,1,Acq,60,0,60,,4,0
2029,9,Acq,50,0,50,82,4,0
2029,9,Acq,41,0,41,,4,0
2029,1,Acq,36,0,36,64,4,0
2029,1,Renewals,32,0,32,,4,0
2029,1,Acq,26,0,26,,4,0
2029,1,Acq,24.7,0,24.7,45,4,0
2030,1,Acq,374,0,374,,4,1
2030,1,Renewals,350,0,350,,4,1
2030,1,Acq,250,0,250,72,4,1
2030,9,Acq,150,50,200,,4,1
2030,1,Renewals,186.45,13.55,200,72,4,1
2030,1,Renewals,192.5,0,192.5,92,4,1
2030,1,Renewals,191,0,191,57,4,1
2030,1,Renewals,146.5,20,166.5,48,4,1
2030,1,Acq,159.25,0,159.25,,4,1
2030,1,Acq,150,0,150,72,4,1
2030,1,Acq,100,0,100,,4,1
2030,1,Acq,95,0,95,,4,1
2030,1,Renewals,90,0,90,,4,1
2030,1,Acq,65.4,0,65.4,83,4,0
2030,1,Acq,62.95,0,62.95,60,4,0
2030,9,Acq,60,0,60,,4,0
2030,1,Acq,60,0,60,76,4,0
2030,1,Acq,50,0,50,85,4,0
2030,1,Renewals,47,0,47,,4,0
2030,1,Acq,29,0,29,71,4,0
2030,9,Acq,0,25,25,,4,0
2031,9,Acq,320,0,320,,4,1
2031,1,Renewals,251.5,0,251.5,,4,1
2031,1,Renewals,210.1,0,210.1,70,4,1
2031,9,Acq,200,0,200,,4,1
2031,1,Acq,179,0,179,75,4,1
2031,1,Renewals,162.85,0,162.85,55,4,1
2031,1,Renewals,149.1,0,149.1,,4,1
2031,1,Renewals,146,0,146,,4,1
2031,1,Renewals,130,0,130,,4,1
2031,2,Renewals,116,0,116,76,4,1
2031,1,Acq,110,0,110,52,4,1
2031,1,Renewals,110,0,110,45,4,1
2031,1,Renewals,102,0,102,,4,1
2031,1,Acq,101,0,101,54,4,1
2031,1,Acq,100,0,100,47,4,1
2031,1,Acq,100,0,100,,4,1
2031,1,Acq,100,0,100,,4,1
2031,1,Renewals,100,0,100,47,4,1
2031,1,Renewals,100,0,100,46,4,1
2031,1,Renewals,100,0,100,,4,1
2031,1,Renewals,100,0,100,75,4,1
2031,1,Acq,92.05,0,92.05,,4,1
2031,1,Renewals,90,0,90,48,4,1
2031,1,Renewals,81,0,81,,4,1
2031,9,Acq,75,0,75,,4,0
2031,1,Renewals,72,0,72,,4,0
2031,2,Renewals,68,0,68,58,4,0
2031,1,Acq,66,0,66,,4,0
2031,9,Acq,66,0,66,,4,0
2031,1,Renewals,62,0,62,,4,0
2031,9,Acq,50,0,50,57,4,0
2031,1,Acq,0,50,50,,4,0
2031,1,Acq,50,0,50,,4,0
2031,1,Acq,0,50,50,77,4,0
2031,1,Renewals,50,0,50,38,4,0
2031,1,Acq,40,0,40,48,4,0
2031,2,Acq,30,0,30,,4,0
2031,1,Acq,20,0,20,,4,0
2031,1,Acq,20,0,20,,4,0
2031,9,Acq,0,20,20,,4,0
2031,9,Acq,0,20,20,,4,0
2031,9,Acq,0,20,20,,4,0
2031,1,Renewals,16,0,16,67,4,0
2032,1,Acq,343,0,343,,4,1
2032,1,Renewals,298.3,0,298.3,60,4,1
2032,9,Acq,280,0,280,,4,1
2032,1,Acq,182,0,182,57,4,1
2032,1,Acq,131.2,0,131.2,58,4,1
2032,1,Renewals,110,0,110,,4,1
2032,1,Acq,100,0,100,,4,1
2032,1,Acq,80,0,80,,4,1
2032,1,Renewals,70,0,70,89,4,0
2032,9,Acq,20,30,50,61,4,0
2032,9,Acq,0,50,50,,4,0
2032,1,Acq,41.1,0,41.1,,4,0
2032,1,Renewals,35,0,35,,4,0
2032,1,Acq,34,0,34,66,4,0
2032,1,Acq,0,30,30,72,4,0
2032,1,Acq,30,0,30,89,4,0
2032,1,Acq,30,0,30,,4,0
2032,9,Acq,30,0,30,,4,0
2032,9,Acq,24,0,24,40,4,0
2032,1,Acq,0,20,20,,4,0
2032,9,Acq,20,0,20,,4,0
2032,2,Renewals,20,0,20,,4,0
2032,1,Renewals,20,0,20,,4,0
2033,1,Acq,327,0,327,75,4,1
2033,9,Acq,250,0,250,,4,1
2033,1,Renewals,213.5,0,213.5,,4,1
2033,1,Acq,188.6,0,188.6,66,4,1
2033,1,Acq,130,0,130,75,4,1
2033,1,Acq,110,0,110,52,4,1
2033,1,Acq,100,0,100,,4,1
2033,1,Renewals,94,0,94,,4,1
