postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
5520,3,7.33,0.67,215.55,0.00,215.55,71.85,0.00,71.85,68.33,4,0.33,3
5522,10,7.50,0.30,1144.25,20.00,1164.25,114.43,2.00,116.43,70.75,4,0.60,10
5523,8,7.38,0.50,628.50,40.00,668.50,78.56,5.00,83.56,69.29,4,0.63,8
5540,48,7.13,0.42,3123.20,166.00,3289.20,65.07,3.46,68.53,68.88,4,0.29,48
5550,4,7.50,0.75,263.40,0.00,263.40,65.85,0.00,65.85,66.00,4,0.25,4
5554,29,7.41,0.45,2206.55,60.00,2266.55,76.09,2.07,78.16,58.76,4,0.31,29
5556,22,6.86,0.45,1534.30,75.00,1609.30,69.74,3.41,73.15,66.89,4,0.27,22
5558,25,7.28,0.52,1493.80,70.00,1563.80,59.75,2.80,62.55,69.10,4,0.32,25
5560,4,8.25,0.50,247.55,0.00,247.55,61.89,0.00,61.89,65.00,4,0.50,4
5571,13,6.69,0.85,750.50,55.00,805.50,57.73,4.23,61.96,66.50,4,0.23,13
5573,10,7.90,0.50,1285.00,219.00,1504.00,128.50,21.90,150.40,63.20,4,0.70,10
5575,7,6.57,0.29,653.35,53.00,706.35,93.34,7.57,100.91,73.33,4,0.43,7
5576,5,7.60,0.60,402.80,20.00,422.80,80.56,4.00,84.56,54.75,4,0.60,5
5581,9,8.00,0.67,641.25,32.00,673.25,71.25,3.56,74.81,75.25,4,0.56,9
5582,2,9.00,1.00,151.00,0.00,151.00,75.50,0.00,75.50,73.00,4,0.50,2
5583,7,8.00,0.57,472.00,15.00,487.00,67.43,2.14,69.57,72.67,4,0.43,7
5600,36,6.83,0.56,2724.85,110.00,2834.85,75.69,3.06,78.75,64.18,4,0.42,36
5602,3,7.00,0.33,186.10,0.00,186.10,62.03,0.00,62.03,53.50,4,0.33,3
5603,1,7.00,1.00,0.00,200.00,200.00,0.00,200.00,200.00,85.00,4,1.00,1
5605,15,7.27,0.47,1078.50,44.00,1122.50,71.90,2.93,74.83,68.36,4,0.33,15
5606,41,7.20,0.56,3112.60,216.00,3328.60,75.92,5.27,81.19,69.45,4,0.39,41
5607,7,6.14,0.86,501.00,220.00,721.00,71.57,31.43,103.00,73.67,4,0.57,7
5608,50,7.04,0.58,3180.35,215.00,3395.35,63.61,4.30,67.91,65.00,4,0.26,50
5609,6,7.17,0.83,421.65,0.00,421.65,70.28,0.00,70.28,69.50,4,0.33,6
5631,6,7.33,0.67,520.00,75.00,595.00,86.67,12.50,99.17,70.50,4,0.50,6
5640,7,6.57,0.71,298.20,30.00,328.20,42.60,4.29,46.89,67.25,4,0.14,7
5641,8,7.50,0.38,634.10,50.00,684.10,79.26,6.25,85.51,71.00,4,0.50,8
5652,3,7.67,0.67,283.30,0.00,283.30,94.43,0.00,94.43,58.50,4,0.67,3
5680,6,7.50,0.17,438.00,25.00,463.00,73.00,4.17,77.17,66.50,4,0.33,6
5690,9,5.89,0.44,754.90,170.00,924.90,83.88,18.89,102.77,69.50,4,0.78,9
5700,41,7.32,0.44,2956.60,73.00,3029.60,72.11,1.78,73.89,63.53,4,0.39,41
5710,3,7.67,0.33,236.30,0.00,236.30,78.77,0.00,78.77,60.00,4,0.67,3
5725,1,7.00,0.00,200.00,0.00,200.00,200.00,0.00,200.00,,4,1.00,1
5731,2,7.50,0.00,215.00,100.00,315.00,107.50,50.00,157.50,53.00,4,1.00,2
6000,6,1.00,0.67,453.70,100.00,553.70,75.62,16.67,92.28,72.00,3,0.50,6
6003,2,4.00,1.00,34.40,0.00,34.40,17.20,0.00,17.20,46.50,3,0.00,2
6004,4,1.00,1.00,242.00,0.00,242.00,60.50,0.00,60.50,53.50,3,0.25,4
6005,4,1.00,0.25,339.40,62.60,402.00,84.85,15.65,100.50,67.00,3,0.75,4
6006,11,1.73,0.36,652.00,91.00,743.00,59.27,8.27,67.55,67.00,3,0.27,11
6007,16,2.50,0.25,1631.15,60.00,1691.15,101.95,3.75,105.70,64.33,3,0.50,16
6008,34,1.53,0.50,2787.95,214.00,3001.95,82.00,6.29,88.29,66.17,3,0.65,34
6009,47,1.60,0.43,5444.80,250.00,5694.80,115.85,5.32,121.17,62.07,3,0.66,47
6010,77,1.49,0.56,8410.25,683.60,9093.85,109.22,8.88,118.10,67.52,3,0.60,77
6011,34,1.24,0.74,4276.10,325.00,4601.10,125.77,9.56,135.33,65.78,3,0.68,34
6012,31,1.77,0.55,3607.90,45.00,3652.90,116.38,1.45,117.84,62.19,3,0.71,31
6014,74,1.49,0.50,6770.20,458.00,7228.20,91.49,6.19,97.68,62.33,3,0.59,74
6015,25,1.48,0.48,2837.00,270.00,3107.00,113.48,10.80,124.28,68.25,3,0.76,25
6016,24,2.33,0.54,1381.30,15.00,1396.30,57.55,0.63,58.18,54.29,3,0.17,24
6017,5,1.20,0.20,458.40,50.00,508.40,91.68,10.00,101.68,80.00,3,0.60,5
6018,100,1.51,0.53,8601.85,622.25,9224.10,86.02,6.22,92.24,68.02,3,0.54,100
6019,58,1.78,0.45,4159.75,254.00,4413.75,71.72,4.38,76.10,65.70,3,0.48,58
6020,89,1.60,0.64,8029.25,340.15,8369.40,90.22,3.82,94.04,65.44,3,0.60,89
6021,37,1.70,0.43,2614.35,49.50,2663.85,70.66,1.34,72.00,54.78,3,0.27,37
6022,24,1.83,0.54,1577.55,77.00,1654.55,65.73,3.21,68.94,58.53,3,0.38,24
6023,70,1.50,0.59,5791.70,381.00,6172.70,82.74,5.44,88.18,64.03,3,0.56,70
6024,61,2.16,0.54,4518.20,124.90,4643.10,74.07,2.05,76.12,61.70,3,0.43,61
6025,107,1.51,0.48,8177.70,355.00,8532.70,76.43,3.32,79.74,62.32,3,0.45,107
6026,81,1.96,0.41,6873.20,223.50,7096.70,84.85,2.76,87.61,61.71,3,0.46,81
6027,88,1.77,0.47,6594.35,140.00,6734.35,74.94,1.59,76.53,61.19,3,0.36,88
6028,27,1.70,0.52,1970.35,60.00,2030.35,72.98,2.22,75.20,51.95,3,0.37,27
6029,15,2.00,0.33,1601.15,175.00,1776.15,106.74,11.67,118.41,70.11,3,0.73,15
6030,44,1.16,0.43,4362.80,185.80,4548.60,99.15,4.22,103.38,56.15,3,0.23,44
6031,12,2.08,0.83,538.25,170.00,708.25,44.85,14.17,59.02,53.89,3,0.25,12
6035,12,2.67,0.75,595.20,20.00,615.20,49.60,1.67,51.27,55.00,3,0.08,12
6036,9,2.56,0.56,497.70,0.00,497.70,55.30,0.00,55.30,63.20,3,0.22,9
6037,6,2.00,0.17,338.75,10.00,348.75,56.46,1.67,58.13,70.75,3,0.17,6
6041,2,1.00,0.50,168.85,0.00,168.85,84.43,0.00,84.43,,3,1.00,2
6042,2,3.00,0.50,362.00,0.00,362.00,181.00,0.00,181.00,65.50,3,0.50,2
6043,2,1.00,0.50,191.00,0.00,191.00,95.50,0.00,95.50,76.50,3,0.50,2
6044,2,2.00,0.00,153.00,0.00,153.00,76.50,0.00,76.50,75.00,3,0.50,2
6050,40,1.33,0.43,4099.85,327.05,4426.90,102.50,8.18,110.67,62.77,3,0.58,40
6051,20,1.55,0.40,1197.35,95.45,1292.80,59.87,4.77,64.64,57.00,3,0.25,20
6052,19,1.63,0.58,2245.50,170.00,2415.50,118.18,8.95,127.13,61.77,3,0.68,19
6053,31,1.71,0.48,2548.30,250.40,2798.70,82.20,8.08,90.28,66.52,3,0.52,31
6054,37,1.84,0.59,2836.20,193.55,3029.75,76.65,5.23,81.89,56.30,3,0.38,37
6055,32,1.78,0.47,2504.50,147.00,2651.50,78.27,4.59,82.86,61.33,3,0.50,32
6056,66,1.35,0.55,5260.75,321.00,5581.75,79.71,4.86,84.57,65.22,3,0.42,66
6057,40,1.28,0.50,2660.10,1093.75,3753.85,66.50,27.34,93.85,64.91,3,0.38,40
6058,32,1.09,0.47,2423.40,105.00,2528.40,75.73,3.28,79.01,65.26,3,0.31,32
6059,61,1.23,0.51,4901.45,125.00,5026.45,80.35,2.05,82.40,59.74,3,0.48,61
6060,17,1.35,0.41,1259.45,20.00,1279.45,74.09,1.18,75.26,67.82,3,0.41,17
6061,44,1.75,0.32,3731.65,105.30,3836.95,84.81,2.39,87.20,63.14,3,0.41,44
6062,63,1.49,0.49,3931.90,386.00,4317.90,62.41,6.13,68.54,65.48,3,0.38,63
6063,19,1.16,0.53,809.05,30.00,839.05,42.58,1.58,44.16,61.00,3,0.00,19
6064,47,1.45,0.43,2615.25,190.00,2805.25,55.64,4.04,59.69,59.57,3,0.28,47
6065,80,1.41,0.64,5011.80,285.00,5296.80,62.65,3.56,66.21,59.34,3,0.30,80
6066,23,1.35,0.52,1149.25,20.00,1169.25,49.97,0.87,50.84,52.81,3,0.22,23
6069,25,1.16,0.72,2581.95,88.00,2669.95,103.28,3.52,106.80,61.56,3,0.40,25
6070,23,1.48,0.57,1789.75,60.00,1849.75,77.82,2.61,80.42,64.88,3,0.35,23
6071,12,1.75,0.67,721.75,87.00,808.75,60.15,7.25,67.40,49.83,3,0.33,12
6072,1,2.00,1.00,140.00,0.00,140.00,140.00,0.00,140.00,,3,1.00,1
6073,9,1.00,0.67,575.50,40.00,615.50,63.94,4.44,68.39,67.00,3,0.33,9
6074,2,2.00,1.00,133.00,0.00,133.00,66.50,0.00,66.50,60.50,3,0.50,2
6076,112,1.91,0.52,10470.15,560.75,11030.90,93.48,5.01,98.49,63.14,3,0.55,112
6077,2,1.00,0.50,546.65,0.00,546.65,273.33,0.00,273.33,62.50,3,0.50,2
6081,9,1.67,0.89,547.30,5.00,552.30,60.81,0.56,61.37,45.33,3,0.33,9
6082,4,1.25,0.50,277.00,50.00,327.00,69.25,12.50,81.75,74.50,3,0.50,4
6083,2,1.50,0.00,70.00,0.00,70.00,35.00,0.00,35.00,,3,0.00,2
6084,6,1.50,0.33,534.65,100.00,634.65,89.11,16.67,105.78,59.20,3,0.67,6
6100,19,1.32,0.68,1829.70,570.00,2399.70,96.30,30.00,126.30,64.31,3,0.63,19
6101,23,1.30,0.65,1457.85,200.00,1657.85,63.38,8.70,72.08,59.95,3,0.39,23
6102,23,2.17,0.43,1943.25,113.00,2056.25,84.49,4.91,89.40,64.15,3,0.39,23
6103,11,1.00,0.73,795.45,40.00,835.45,72.31,3.64,75.95,45.33,3,0.36,11
6104,27,1.19,0.52,2676.45,124.15,2800.60,99.13,4.60,103.73,64.86,3,0.41,27
6105,26,1.42,0.50,1589.05,56.00,1645.05,61.12,2.15,63.27,57.53,3,0.31,26
6106,1,7.00,1.00,24.00,0.00,24.00,24.00,0.00,24.00,,3,0.00,1
6107,55,1.33,0.47,3679.50,214.75,3894.25,66.90,3.90,70.80,62.93,3,0.40,55
6108,48,1.42,0.50,3420.85,180.00,3600.85,71.27,3.75,75.02,65.03,3,0.42,48
6109,20,1.20,0.50,1348.85,100.00,1448.85,67.44,5.00,72.44,61.31,3,0.40,20
6110,61,1.41,0.49,3883.45,182.00,4065.45,63.66,2.98,66.65,64.36,3,0.31,61
6111,54,1.98,0.43,4332.70,145.00,4477.70,80.24,2.69,82.92,66.72,3,0.46,54
6112,77,1.65,0.53,5411.00,310.00,5721.00,70.27,4.03,74.30,61.95,3,0.40,77
6121,3,1.33,0.00,162.05,0.00,162.05,54.02,0.00,54.02,72.00,3,0.33,3
6122,13,1.23,0.62,698.45,0.00,698.45,53.73,0.00,53.73,54.18,3,0.08,13
6123,3,1.33,0.67,172.00,200.00,372.00,57.33,66.67,124.00,69.33,3,0.67,3
6124,3,2.00,0.67,280.50,0.00,280.50,93.50,0.00,93.50,34.00,3,0.67,3
6125,2,1.00,1.00,121.15,0.00,121.15,60.58,0.00,60.58,70.00,3,0.50,2
6147,31,1.58,0.42,2397.10,155.20,2552.30,77.33,5.01,82.33,61.81,3,0.55,31
6148,76,1.50,0.43,6855.05,562.00,7417.05,90.20,7.39,97.59,65.67,3,0.53,76
6149,88,1.61,0.42,6896.00,369.00,7265.00,78.36,4.19,82.56,60.60,3,0.48,88
6150,43,1.70,0.65,3402.95,274.00,3676.95,79.14,6.37,85.51,58.36,3,0.37,43
6151,39,1.46,0.44,3016.10,254.00,3270.10,77.34,6.51,83.85,61.38,3,0.51,39
6152,68,1.29,0.59,4861.15,452.25,5313.40,71.49,6.65,78.14,61.23,3,0.44,68
6153,57,1.51,0.54,5701.50,680.45,6381.95,100.03,11.94,111.96,66.51,3,0.51,57
6154,34,1.15,0.41,2955.10,240.00,3195.10,86.91,7.06,93.97,69.68,3,0.53,34
6155,107,1.39,0.53,8207.35,381.00,8588.35,76.70,3.56,80.26,59.97,3,0.48,107
6156,54,1.70,0.63,4674.40,387.00,5061.40,86.56,7.17,93.73,69.67,3,0.52,54
6157,35,1.71,0.71,2280.80,150.00,2430.80,65.17,4.29,69.45,63.36,3,0.34,35
6158,33,1.42,0.58,2798.30,161.60,2959.90,84.80,4.90,89.69,68.17,3,0.52,33
6159,10,1.00,0.80,419.35,195.00,614.35,41.94,19.50,61.44,69.50,3,0.20,10
6160,15,1.47,0.27,1391.00,35.00,1426.00,92.73,2.33,95.07,68.80,3,0.53,15
6162,18,1.33,0.44,1460.10,20.00,1480.10,81.12,1.11,82.23,55.55,3,0.33,18
6163,105,1.63,0.50,7113.20,326.00,7439.20,67.74,3.10,70.85,62.71,3,0.43,105
6164,55,1.51,0.60,2835.05,234.70,3069.75,51.55,4.27,55.81,52.48,3,0.22,55
6166,13,1.38,0.69,1274.00,50.00,1324.00,98.00,3.85,101.85,59.43,3,0.54,13
6167,26,1.12,0.73,1374.45,70.00,1444.45,52.86,2.69,55.56,63.14,3,0.19,26
6168,63,1.54,0.35,3894.15,290.80,4184.95,61.81,4.62,66.43,69.03,3,0.37,63
6169,89,1.53,0.51,5567.45,300.00,5867.45,62.56,3.37,65.93,59.88,3,0.34,89
6170,8,1.75,0.75,474.65,125.00,599.65,59.33,15.63,74.96,61.40,3,0.63,8
6171,14,1.71,0.57,1211.95,115.00,1326.95,86.57,8.21,94.78,61.88,3,0.50,14
6172,21,1.43,0.71,1549.65,30.00,1579.65,73.79,1.43,75.22,62.67,3,0.38,21
6173,15,1.00,0.67,571.80,140.00,711.80,38.12,9.33,47.45,50.75,3,0.13,15
6174,4,1.50,0.25,269.00,0.00,269.00,67.25,0.00,67.25,68.33,3,0.50,4
6175,10,1.70,0.40,547.50,64.70,612.20,54.75,6.47,61.22,59.50,3,0.30,10
6176,1,1.00,0.00,150.00,0.00,150.00,150.00,0.00,150.00,67.00,3,1.00,1
6180,4,1.00,0.25,1233.40,0.00,1233.40,308.35,0.00,308.35,62.75,3,1.00,4
6181,3,3.00,0.67,233.50,0.00,233.50,77.83,0.00,77.83,67.50,3,0.67,3
6207,1,1.00,0.00,30.00,0.00,30.00,30.00,0.00,30.00,,3,0.00,1
6208,30,1.57,0.67,2881.65,115.00,2996.65,96.06,3.83,99.89,66.93,3,0.67,30
6210,205,1.51,0.59,14587.10,417.20,15004.30,71.16,2.04,73.19,66.55,3,0.33,205
6211,18,1.39,0.61,1084.95,110.00,1194.95,60.28,6.11,66.39,63.92,3,0.33,18
6213,3,1.00,0.67,101.00,0.00,101.00,33.67,0.00,33.67,60.67,3,0.00,3
6215,13,1.00,0.54,737.35,60.00,797.35,56.72,4.62,61.33,66.50,3,0.38,13
6218,2,1.50,1.00,137.00,0.00,137.00,68.50,0.00,68.50,78.00,3,0.50,2
6220,11,1.27,0.64,504.20,40.00,544.20,45.84,3.64,49.47,61.60,3,0.18,11
6224,3,1.33,0.33,449.85,0.00,449.85,149.95,0.00,149.95,64.50,3,1.00,3
6225,24,1.38,0.63,1927.70,0.00,1927.70,80.32,0.00,80.32,64.00,3,0.50,24
6226,1,1.00,1.00,0.00,50.00,50.00,0.00,50.00,50.00,30.00,3,0.00,1
6227,1,1.00,1.00,23.70,0.00,23.70,23.70,0.00,23.70,68.00,3,0.00,1
6230,143,1.38,0.52,10802.45,447.80,11250.25,75.54,3.13,78.67,64.57,3,0.47,143
6231,4,1.50,0.50,463.50,0.00,463.50,115.88,0.00,115.88,67.33,3,0.75,4
6232,33,1.79,0.64,2330.40,39.50,2369.90,70.62,1.20,71.82,60.82,3,0.33,33
6233,64,1.78,0.45,5759.50,177.00,5936.50,89.99,2.77,92.76,61.02,3,0.42,64
6236,4,1.75,0.25,234.10,45.00,279.10,58.53,11.25,69.78,45.00,3,0.25,4
6237,3,3.33,0.67,171.45,50.00,221.45,57.15,16.67,73.82,71.50,3,0.33,3
6239,12,1.00,0.75,873.80,100.00,973.80,72.82,8.33,81.15,61.75,3,0.50,12
6244,3,1.67,0.33,224.45,0.00,224.45,74.82,0.00,74.82,65.00,3,0.33,3
6255,10,1.30,0.60,830.60,60.00,890.60,83.06,6.00,89.06,68.00,3,0.60,10
6258,21,1.14,0.38,1471.30,30.00,1501.30,70.06,1.43,71.49,63.44,3,0.29,21
6260,4,1.00,0.50,321.00,20.00,341.00,80.25,5.00,85.25,67.50,3,0.75,4
6271,13,1.77,0.46,1185.85,10.00,1195.85,91.22,0.77,91.99,64.55,3,0.38,13
6275,2,1.50,0.00,208.00,0.00,208.00,104.00,0.00,104.00,62.00,3,0.50,2
6280,84,1.63,0.64,5742.90,115.00,5857.90,68.37,1.37,69.74,57.91,3,0.36,84
6281,24,2.00,0.50,1933.35,17.00,1950.35,80.56,0.71,81.26,57.62,3,0.29,24
6282,6,1.00,0.83,373.00,200.00,573.00,62.17,33.33,95.50,67.00,3,0.33,6
6284,3,1.00,0.33,165.00,50.00,215.00,55.00,16.67,71.67,,3,0.33,3
6285,20,1.10,0.50,1073.70,0.00,1073.70,53.69,0.00,53.69,64.08,3,0.25,20
6290,7,1.86,0.57,565.40,20.00,585.40,80.77,2.86,83.63,61.20,3,0.57,7
6302,9,1.22,0.56,532.45,0.00,532.45,59.16,0.00,59.16,62.50,3,0.22,9
6304,6,2.00,0.50,387.35,0.00,387.35,64.56,0.00,64.56,73.60,3,0.33,6
6306,3,1.00,0.33,277.00,0.00,277.00,92.33,0.00,92.33,80.00,3,0.67,3
6308,1,1.00,0.00,40.00,40.00,80.00,40.00,40.00,80.00,57.00,3,1.00,1
6311,1,2.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,,3,0.00,1
6312,12,1.75,0.50,1351.80,0.00,1351.80,112.65,0.00,112.65,63.88,3,0.83,12
6315,9,1.22,0.56,271.75,200.00,471.75,30.19,22.22,52.42,47.25,3,0.11,9
6317,14,1.00,0.86,532.40,270.00,802.40,38.03,19.29,57.31,60.80,3,0.29,14
6318,1,1.00,0.00,30.00,0.00,30.00,30.00,0.00,30.00,,3,0.00,1
6324,8,1.88,0.75,479.55,100.00,579.55,59.94,12.50,72.44,64.14,3,0.50,8
6330,147,1.70,0.69,11338.95,299.00,11637.95,77.14,2.03,79.17,63.56,3,0.43,147
6331,6,2.17,0.83,193.00,25.00,218.00,32.17,4.17,36.33,70.67,3,0.00,6
6332,3,1.00,1.00,248.00,0.00,248.00,82.67,0.00,82.67,67.00,3,0.67,3
6333,18,1.67,0.50,988.20,70.00,1058.20,54.90,3.89,58.79,65.78,3,0.28,18
6335,1,2.00,1.00,172.00,0.00,172.00,172.00,0.00,172.00,,3,1.00,1
6346,1,1.00,0.00,165.00,0.00,165.00,165.00,0.00,165.00,,3,1.00,1
6348,3,1.67,1.00,253.00,0.00,253.00,84.33,0.00,84.33,61.00,3,0.33,3
6350,1,4.00,0.00,122.45,0.00,122.45,122.45,0.00,122.45,20.00,3,1.00,1
6353,2,2.00,0.50,175.50,0.00,175.50,87.75,0.00,87.75,66.00,3,1.00,2
6355,1,1.00,1.00,30.00,0.00,30.00,30.00,0.00,30.00,57.00,3,0.00,1
6359,2,1.00,1.00,211.50,0.00,211.50,105.75,0.00,105.75,73.00,3,1.00,2
6365,2,1.00,1.00,40.00,0.00,40.00,20.00,0.00,20.00,,3,0.00,2
6369,3,1.67,0.67,656.60,70.00,726.60,218.87,23.33,242.20,68.00,3,0.33,3
6370,2,1.50,0.50,360.70,5.00,365.70,180.35,2.50,182.85,82.00,3,1.00,2
6375,5,1.20,0.60,567.00,70.00,637.00,113.40,14.00,127.40,68.50,3,1.00,5
6383,1,1.00,0.00,59.00,0.00,59.00,59.00,0.00,59.00,,3,0.00,1
6390,5,2.40,0.60,670.50,19.60,690.10,134.10,3.92,138.02,61.00,3,0.80,5
6395,5,1.60,0.20,457.00,210.00,667.00,91.40,42.00,133.40,70.20,3,0.80,5
6398,1,1.00,0.00,32.00,0.00,32.00,32.00,0.00,32.00,60.00,3,0.00,1
6401,11,1.36,0.27,760.05,0.00,760.05,69.10,0.00,69.10,65.56,3,0.36,11
6407,5,1.40,0.60,260.00,325.00,585.00,52.00,65.00,117.00,65.33,3,0.40,5
6410,2,1.00,0.50,109.30,0.00,109.30,54.65,0.00,54.65,72.50,3,0.00,2
6415,7,1.57,0.43,245.20,90.00,335.20,35.03,12.86,47.89,70.60,3,0.14,7
6418,1,1.00,0.00,41.00,5.00,46.00,41.00,5.00,46.00,67.00,3,0.00,1
6426,2,1.00,1.00,60.00,0.00,60.00,30.00,0.00,30.00,59.00,3,0.00,2
6429,2,1.00,0.50,242.00,0.00,242.00,121.00,0.00,121.00,60.00,3,1.00,2
6430,19,1.53,0.47,1424.45,50.00,1474.45,74.97,2.63,77.60,54.60,3,0.53,19
6432,10,1.00,0.60,897.70,20.00,917.70,89.77,2.00,91.77,57.50,3,0.20,10
6433,1,1.00,1.00,25.00,0.00,25.00,25.00,0.00,25.00,39.00,3,0.00,1
6440,1,3.00,1.00,365.75,20.00,385.75,365.75,20.00,385.75,,3,1.00,1
6442,5,1.20,0.60,177.00,100.00,277.00,35.40,20.00,55.40,60.00,3,0.20,5
6443,1,1.00,1.00,41.00,0.00,41.00,41.00,0.00,41.00,62.00,3,0.00,1
6450,35,1.57,0.69,2389.00,345.00,2734.00,68.26,9.86,78.11,65.89,3,0.40,35
6460,2,1.00,1.00,95.85,0.00,95.85,47.93,0.00,47.93,63.00,3,0.00,2
6461,3,3.00,0.33,314.00,0.00,314.00,104.67,0.00,104.67,63.00,3,0.67,3
6475,3,1.33,0.67,212.70,10.00,222.70,70.90,3.33,74.23,60.00,3,0.67,3
6479,1,1.00,1.00,285.10,0.00,285.10,285.10,0.00,285.10,,3,1.00,1
6485,2,1.50,0.00,266.55,0.00,266.55,133.28,0.00,133.28,66.50,3,1.00,2
6501,2,1.50,1.00,110.05,35.00,145.05,55.03,17.50,72.53,80.00,3,0.50,2
6502,3,2.00,0.00,287.00,0.00,287.00,95.67,0.00,95.67,68.00,3,0.67,3
6503,7,1.71,1.00,445.80,140.00,585.80,63.69,20.00,83.69,72.20,3,0.29,7
6510,4,2.00,0.25,290.50,0.00,290.50,72.63,0.00,72.63,54.67,3,0.50,4
6511,3,2.67,0.67,233.95,5.00,238.95,77.98,1.67,79.65,82.00,3,0.67,3
6514,3,1.67,0.67,179.00,20.00,199.00,59.67,6.67,66.33,54.00,3,0.33,3
6515,1,1.00,1.00,94.00,0.00,94.00,94.00,0.00,94.00,80.00,3,1.00,1
6516,4,5.25,0.50,350.60,50.00,400.60,87.65,12.50,100.15,75.00,3,0.25,4
6517,2,4.50,0.50,199.50,0.00,199.50,99.75,0.00,99.75,72.00,3,0.50,2
6519,1,7.00,1.00,150.00,0.00,150.00,150.00,0.00,150.00,62.00,3,1.00,1
6525,11,2.09,0.55,913.80,32.00,945.80,83.07,2.91,85.98,71.50,3,0.36,11
6528,1,1.00,0.00,165.00,0.00,165.00,165.00,0.00,165.00,54.00,3,1.00,1
6530,81,1.64,0.59,6265.75,100.00,6365.75,77.35,1.23,78.59,64.04,3,0.41,81
6531,6,1.17,0.50,501.00,0.00,501.00,83.50,0.00,83.50,77.00,3,0.50,6
6532,6,1.17,0.83,462.10,0.00,462.10,77.02,0.00,77.02,57.00,3,0.33,6
6535,3,1.33,1.00,77.70,25.00,102.70,25.90,8.33,34.23,55.00,3,0.00,3
6536,6,1.67,0.33,315.20,95.00,410.20,52.53,15.83,68.37,68.67,3,0.33,6
6537,1,1.00,1.00,20.00,0.00,20.00,20.00,0.00,20.00,,3,0.00,1
6556,2,1.00,0.50,235.00,0.00,235.00,117.50,0.00,117.50,36.00,3,0.50,2
6560,1,1.00,0.00,191.30,0.00,191.30,191.30,0.00,191.30,67.00,3,1.00,1
6566,6,1.50,0.33,680.60,5.00,685.60,113.43,0.83,114.27,77.00,3,0.50,6
6569,1,2.00,0.00,60.00,0.00,60.00,60.00,0.00,60.00,,3,0.00,1
6603,2,1.00,0.50,269.95,0.00,269.95,134.98,0.00,134.98,,3,1.00,2
6609,1,2.00,1.00,50.50,0.00,50.50,50.50,0.00,50.50,56.00,3,0.00,1
6620,1,2.00,0.00,116.50,0.00,116.50,116.50,0.00,116.50,,3,1.00,1
6623,2,4.50,0.00,108.00,0.00,108.00,54.00,0.00,54.00,42.00,3,0.00,2
6630,1,1.00,0.00,0.00,100.00,100.00,0.00,100.00,100.00,,3,1.00,1
6640,1,3.00,0.00,286.85,0.00,286.85,286.85,0.00,286.85,,3,1.00,1
6642,1,2.00,0.00,0.00,50.00,50.00,0.00,50.00,50.00,89.00,3,0.00,1
6701,6,1.33,0.67,480.90,0.00,480.90,80.15,0.00,80.15,58.67,3,0.33,6
6707,4,1.00,0.75,474.00,0.00,474.00,118.50,0.00,118.50,70.50,3,0.75,4
6713,1,8.00,0.00,317.85,0.00,317.85,317.85,0.00,317.85,,3,1.00,1
6714,8,1.00,0.88,441.95,0.00,441.95,55.24,0.00,55.24,50.60,3,0.38,8
6716,1,1.00,0.00,34.00,20.00,54.00,34.00,20.00,54.00,,3,0.00,1
6720,2,1.00,0.00,149.30,0.00,149.30,74.65,0.00,74.65,,3,0.50,2
6721,1,1.00,1.00,46.00,0.00,46.00,46.00,0.00,46.00,,3,0.00,1
6722,2,1.00,0.50,180.00,0.00,180.00,90.00,0.00,90.00,,3,0.50,2
6725,3,1.00,0.67,284.50,0.00,284.50,94.83,0.00,94.83,69.67,3,0.67,3
6726,1,2.00,1.00,25.00,0.00,25.00,25.00,0.00,25.00,,3,0.00,1
6728,2,1.00,0.00,228.00,0.00,228.00,114.00,0.00,114.00,78.00,3,0.50,2
6743,3,1.00,0.67,780.45,0.00,780.45,260.15,0.00,260.15,,3,1.00,3
6751,1,22.00,1.00,170.90,0.00,170.90,170.90,0.00,170.90,,3,1.00,1
6753,1,1.00,1.00,124.00,0.00,124.00,124.00,0.00,124.00,,3,1.00,1
6839,1,2.00,0.00,120.00,20.00,140.00,120.00,20.00,140.00,65.00,3,1.00,1
6850,1,1.00,1.00,250.00,0.00,250.00,250.00,0.00,250.00,,3,1.00,1
6892,1,1.00,0.00,50.00,0.00,50.00,50.00,0.00,50.00,69.00,3,0.00,1
6909,1,1.00,1.00,17.00,50.00,67.00,17.00,50.00,67.00,,3,0.00,1
6911,3,1.00,0.33,543.60,100.00,643.60,181.20,33.33,214.53,73.67,3,1.00,3
6913,2,1.00,1.00,118.40,0.00,118.40,59.20,0.00,59.20,71.00,3,0.00,2
6915,1,1.00,1.00,30.00,0.00,30.00,30.00,0.00,30.00,38.00,3,0.00,1
6920,1,2.00,1.00,80.30,0.00,80.30,80.30,0.00,80.30,,3,1.00,1
6923,1,1.00,0.00,0.00,150.00,150.00,0.00,150.00,150.00,65.00,3,1.00,1
6924,1,1.00,0.00,24.00,0.00,24.00,24.00,0.00,24.00,,3,0.00,1
6926,4,1.50,1.00,627.50,20.00,647.50,156.88,5.00,161.88,70.67,3,0.75,4
6931,1,1.00,0.00,149.00,0.00,149.00,149.00,0.00,149.00,66.00,3,1.00,1
6936,1,1.00,0.00,25.00,0.00,25.00,25.00,0.00,25.00,,3,0.00,1
