postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
4355,11,3.00,0.73,684.45,10.00,694.45,62.22,0.91,63.13,63.63,2,0.27,11
4356,20,2.95,0.55,1122.60,30.00,1152.60,56.13,1.50,57.63,60.29,2,0.25,20
4357,11,3.45,0.73,690.10,0.00,690.10,62.74,0.00,62.74,63.33,2,0.27,11
4358,3,4.00,0.67,168.00,10.00,178.00,56.00,3.33,59.33,67.33,2,0.33,3
4361,8,2.63,0.63,352.10,5.00,357.10,44.01,0.63,44.64,76.20,2,0.13,8
4362,7,2.71,0.29,431.90,10.00,441.90,61.70,1.43,63.13,53.33,2,0.29,7
4370,48,3.08,0.67,2594.90,235.00,2829.90,54.06,4.90,58.96,61.35,2,0.27,48
4373,5,3.20,1.00,229.00,0.00,229.00,45.80,0.00,45.80,55.75,2,0.20,5
4380,29,2.83,0.72,2224.80,0.00,2224.80,76.72,0.00,76.72,58.32,2,0.28,29
4383,1,5.00,0.00,63.00,0.00,63.00,63.00,0.00,63.00,66.00,2,0.00,1
4385,5,3.80,1.00,314.60,20.00,334.60,62.92,4.00,66.92,77.00,2,0.40,5
4387,2,3.00,0.50,50.00,40.00,90.00,25.00,20.00,45.00,71.00,2,0.00,2
4390,13,3.08,0.77,838.00,140.00,978.00,64.46,10.77,75.23,57.86,2,0.54,13
4400,2,3.00,0.50,22.00,40.00,62.00,11.00,20.00,31.00,82.00,2,0.00,2
4401,14,3.07,0.79,871.65,0.00,871.65,62.26,0.00,62.26,66.45,2,0.21,14
4405,37,3.05,0.68,2511.65,70.00,2581.65,67.88,1.89,69.77,61.40,2,0.27,37
4407,2,3.00,0.50,137.00,13.00,150.00,68.50,6.50,75.00,67.00,2,0.50,2
4408,3,4.00,1.00,145.00,0.00,145.00,48.33,0.00,48.33,58.67,2,0.33,3
4410,2,3.00,1.00,78.00,0.00,78.00,39.00,0.00,39.00,55.50,2,0.00,2
4413,20,3.45,0.65,1442.60,0.00,1442.60,72.13,0.00,72.13,60.92,2,0.20,20
4415,2,3.50,1.00,82.00,0.00,82.00,41.00,0.00,41.00,51.50,2,0.00,2
4417,4,3.50,1.00,297.05,20.00,317.05,74.26,5.00,79.26,65.50,2,0.25,4
4420,1,3.00,0.00,41.00,0.00,41.00,41.00,0.00,41.00,54.00,2,0.00,1
4421,3,2.33,0.33,594.00,0.00,594.00,198.00,0.00,198.00,60.00,2,0.67,3
4428,1,4.00,0.00,35.00,0.00,35.00,35.00,0.00,35.00,39.00,2,0.00,1
4454,1,3.00,1.00,105.00,0.00,105.00,105.00,0.00,105.00,49.00,2,1.00,1
4455,11,3.45,0.64,592.85,140.00,732.85,53.90,12.73,66.62,61.25,2,0.36,11
4465,3,3.00,1.00,260.00,0.00,260.00,86.67,0.00,86.67,67.33,2,0.33,3
4470,2,3.00,0.50,170.00,0.00,170.00,85.00,0.00,85.00,78.00,2,0.50,2
4472,7,3.43,0.86,465.20,0.00,465.20,66.46,0.00,66.46,61.17,2,0.29,7
4477,1,3.00,1.00,118.00,0.00,118.00,118.00,0.00,118.00,65.00,2,1.00,1
4480,2,2.50,1.00,186.00,0.00,186.00,93.00,0.00,93.00,,2,1.00,2
4487,11,3.18,0.82,685.95,0.00,685.95,62.36,0.00,62.36,53.86,2,0.27,11
4490,1,3.00,1.00,119.00,0.00,119.00,119.00,0.00,119.00,,2,1.00,1
4500,87,3.02,0.61,4197.35,156.00,4353.35,48.25,1.79,50.04,52.47,2,0.15,87
4501,11,2.91,0.73,596.40,0.00,596.40,54.22,0.00,54.22,51.50,2,0.18,11
4502,19,3.42,0.68,1075.55,25.00,1100.55,56.61,1.32,57.92,55.47,2,0.21,19
4503,67,3.13,0.72,3120.45,300.00,3420.45,46.57,4.48,51.05,53.68,2,0.16,67
4504,35,3.11,0.71,1891.95,130.00,2021.95,54.06,3.71,57.77,47.59,2,0.26,35
4505,46,2.98,0.76,2821.30,35.00,2856.30,61.33,0.76,62.09,58.14,2,0.24,46
4506,42,3.17,0.71,2863.00,67.50,2930.50,68.17,1.61,69.77,54.00,2,0.19,42
4507,88,2.99,0.65,5660.95,45.00,5705.95,64.33,0.51,64.84,68.04,2,0.35,88
4508,45,3.53,0.71,2131.35,40.00,2171.35,47.36,0.89,48.25,60.83,2,0.16,45
4509,33,2.76,0.64,1521.00,55.50,1576.50,46.09,1.68,47.77,47.65,2,0.21,33
4510,89,3.11,0.60,4875.80,195.00,5070.80,54.78,2.19,56.98,61.46,2,0.22,89
4511,31,2.87,0.94,1419.30,80.00,1499.30,45.78,2.58,48.36,65.05,2,0.23,31
4512,9,3.00,0.44,624.00,30.00,654.00,69.33,3.33,72.67,59.57,2,0.44,9
4514,10,3.20,0.90,679.35,10.00,689.35,67.94,1.00,68.94,57.20,2,0.40,10
