,num_streets,age,Acq,avg donation value,profitable,cluster,avg income,collection_amount,donation_amount,total_received,postcode
272,10,66.0,1.0,777.6830036,1,0,114993.3892,90.5,0.0,90.5,2019
273,2,60.0,0.0,777.6830036,0,0,114993.3892,40.0,0.0,40.0,2020
274,2,57.0,0.0,592.1022257,1,0,96842.71371,292.0,200.0,492.0,
275,1,54.0,1.0,592.1022257,1,0,96842.71371,0.0,200.0,200.0,
276,2,72.0,0.0,592.1022257,1,0,96842.71371,162.0,0.0,162.0,2020
277,1,43.0,1.0,592.1022257,1,0,96842.71371,140.0,0.0,140.0,2020
278,1,70.0,0.0,592.1022257,1,0,96842.71371,122.0,0.0,122.0,2020
279,1,55.0,0.0,592.1022257,1,0,96842.71371,80.0,0.0,80.0,
280,1,68.0,1.0,592.1022257,0,0,96842.71371,60.0,0.0,60.0,2020
281,9,57.0,1.0,592.1022257,0,0,96842.71371,46.5,0.0,46.5,
282,1,70.0,0.0,592.1022257,0,0,96842.71371,20.0,0.0,20.0,
283,1,61.0,1.0,4865.463725,1,3,148065.1286,312.0,0.0,312.0,
284,9,71.0,1.0,4865.463725,1,3,148065.1286,210.0,0.0,210.0,
285,1,68.0,1.0,4865.463725,1,3,148065.1286,200.8,0.0,200.8,2020
286,9,74.0,1.0,4865.463725,1,3,148065.1286,158.3,0.0,158.3,2021
287,1,54.0,0.0,4865.463725,1,3,148065.1286,154.0,0.0,154.0,
288,1,69.0,1.0,4865.463725,1,3,148065.1286,145.0,0.0,145.0,2021
289,9,64.0,1.0,4865.463725,1,3,148065.1286,143.0,0.0,143.0,
290,2,66.0,1.0,4865.463725,1,3,148065.1286,110.0,20.0,130.0,2021
291,1,70.0,0.0,4865.463725,1,3,148065.1286,115.0,15.0,130.0,
292,2,54.0,1.0,4865.463725,1,3,148065.1286,118.0,0.0,118.0,
293,1,64.0,1.0,4865.463725,1,3,148065.1286,102.0,0.0,102.0,
294,1,51.0,1.0,4865.463725,1,3,148065.1286,100.0,0.0,100.0,
295,1,76.0,0.0,4865.463725,0,3,148065.1286,60.0,0.0,60.0,
296,1,59.0,1.0,4865.463725,0,3,148065.1286,57.0,0.0,57.0,2021
297,1,77.0,1.0,4865.463725,0,3,148065.1286,44.0,0.0,44.0,2021
298,9,90.0,1.0,4865.463725,0,3,148065.1286,20.0,10.0,30.0,
299,2,46.0,1.0,4865.463725,0,3,148065.1286,10.0,0.0,10.0,
300,1,48.0,0.0,573.9422526,1,0,81014.12318,165.9,0.0,165.9,
301,1,49.0,0.0,573.9422526,1,0,81014.12318,125.0,0.0,125.0,
302,9,52.0,1.0,573.9422526,1,0,81014.12318,100.0,0.0,100.0,2021
303,1,67.0,1.0,573.9422526,1,0,81014.12318,87.0,0.0,87.0,2021
304,9,60.0,1.0,573.9422526,0,0,81014.12318,39.0,0.0,39.0,
305,1,73.0,0.0,573.9422526,0,0,81014.12318,32.0,0.0,32.0,2021
306,1,54.0,0.0,573.9422526,0,0,81014.12318,30.0,0.0,30.0,2021
307,1,71.0,1.0,573.9422526,0,0,81014.12318,0.0,15.0,15.0,
308,3,58.0,1.0,516.5718489,0,4,90247.01881,71.0,0.0,71.0,2021
309,1,79.0,0.0,516.5718489,0,4,90247.01881,33.0,0.0,33.0,
310,1,66.0,1.0,371.4607527,1,4,71700.97839,174.9,0.0,174.9,2021
311,1,53.0,0.0,371.4607527,1,4,71700.97839,100.0,0.0,100.0,
312,1,51.0,0.0,371.4607527,1,4,71700.97839,75.7,0.0,75.7,2022
313,1,55.0,0.0,371.4607527,0,4,71700.97839,67.0,0.0,67.0,2022
314,1,63.0,0.0,371.4607527,0,4,71700.97839,59.0,0.0,59.0,
315,1,63.0,1.0,371.4607527,0,4,71700.97839,50.0,0.0,50.0,
316,1,57.0,1.0,371.4607527,0,4,71700.97839,20.0,5.0,25.0,2022
317,1,69.0,0.0,687.2551151,1,4,116014.9711,170.0,0.0,170.0,2022
318,1,77.0,0.0,687.2551151,1,4,116014.9711,170.0,0.0,170.0,2022
319,1,49.0,1.0,687.2551151,1,4,116014.9711,159.0,0.0,159.0,2022
320,1,52.0,1.0,687.2551151,1,4,116014.9711,104.0,46.0,150.0,
321,1,67.0,0.0,687.2551151,1,4,116014.9711,105.0,0.0,105.0,2022
322,1,77.0,0.0,687.2551151,0,4,116014.9711,48.0,0.0,48.0,2022
323,9,18.0,1.0,687.2551151,0,4,116014.9711,44.0,0.0,44.0,
324,1,26.0,0.0,687.2551151,0,4,116014.9711,32.8,5.0,37.8,
325,1,82.0,1.0,687.2551151,0,4,116014.9711,0.0,25.0,25.0,
326,1,26.0,1.0,687.2551151,0,4,116014.9711,0.0,20.0,20.0,2023
327,1,60.0,1.0,598.985594,1,2,95177.90134,325.0,175.0,500.0,
328,1,69.0,0.0,598.985594,1,2,95177.90134,399.5,0.0,399.5,
