,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
207,2031,1,67.0,0.0,4,0,4,104414.0139
208,2032,1,60.0,0.0,4,1,2,78454.43922
209,2032,1,57.0,1.0,4,1,2,78454.43922
210,2032,1,58.0,1.0,4,1,2,78454.43922
211,2032,1,89.0,0.0,4,0,2,78454.43922
212,2032,9,61.0,1.0,4,0,2,78454.43922
213,2032,1,66.0,1.0,4,0,2,78454.43922
214,2032,1,72.0,1.0,4,0,2,78454.43922
215,2032,1,89.0,1.0,4,0,2,78454.43922
216,2032,9,40.0,1.0,4,0,2,78454.43922
217,2033,1,75.0,1.0,4,1,3,92261.16645
218,2033,1,66.0,1.0,4,1,3,92261.16645
219,2033,1,75.0,1.0,4,1,3,92261.16645
220,2033,1,52.0,1.0,4,1,3,92261.16645
221,2033,1,91.0,0.0,4,1,3,92261.16645
222,2033,1,66.0,0.0,4,1,3,92261.16645
223,2033,1,78.0,0.0,4,0,3,92261.16645
224,2034,1,66.0,0.0,4,1,0,104271.5657
225,2034,1,63.0,0.0,4,1,0,104271.5657
226,2034,9,74.0,1.0,4,1,0,104271.5657
227,2034,2,78.0,1.0,4,1,0,104271.5657
228,2034,1,78.0,1.0,4,0,0,104271.5657
229,2034,1,72.0,0.0,4,0,0,104271.5657
230,2034,1,74.0,1.0,4,0,0,104271.5657
231,2034,1,70.0,0.0,4,0,0,104271.5657
232,2034,1,53.0,1.0,4,0,0,104271.5657
233,2034,1,91.0,1.0,4,0,0,104271.5657
234,2035,2,87.0,0.0,4,1,0,86359.10618
235,2035,1,68.0,0.0,4,1,0,86359.10618
236,2035,1,63.0,0.0,4,1,0,86359.10618
237,2035,1,25.0,1.0,4,1,0,86359.10618
238,2035,1,71.0,1.0,4,1,0,86359.10618
239,2035,1,77.0,0.0,4,0,0,86359.10618
240,2035,9,62.0,1.0,4,0,0,86359.10618
241,2035,3,23.0,1.0,4,0,0,86359.10618
242,2035,1,61.0,0.0,4,0,0,86359.10618
243,2036,9,71.0,1.0,4,1,3,76822.97497
244,2036,1,68.0,0.0,4,1,3,76822.97497
245,2036,1,53.0,1.0,4,1,3,76822.97497
246,2036,1,54.0,1.0,4,1,3,76822.97497
247,2036,9,50.0,1.0,4,1,3,76822.97497
248,2036,1,69.0,0.0,4,1,3,76822.97497
249,2036,9,81.0,1.0,4,1,3,76822.97497
250,2036,9,64.0,1.0,4,0,3,76822.97497
251,2036,1,21.0,1.0,4,0,3,76822.97497
252,2036,9,50.0,1.0,4,0,3,76822.97497
253,2036,1,73.0,1.0,4,0,3,76822.97497
254,2036,9,65.0,1.0,4,0,3,76822.97497
255,2036,9,55.0,1.0,4,0,3,76822.97497
