postcode,tax individuals,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2165,11526,192,9162.671875,55762.28,5191,1797190,346.2126758
2166,15447,241,8228.896266,54005.81446,6634,2287595,344.8289117
2167,3757,70,8233.614286,63219.53793,1714,681297,397.4894982
2168,13670,187,8860.213904,57207.85369,6228,2342967,376.1989403
2170,36130,558,7882.324373,62216.37091,15934,8345682,523.7656583
2171,14368,143,8292.65035,66200.9359,6734,2341995,347.7866053
2172,1074,9,8409.333333,80842.71881,511,253536,496.1565558
2173,6681,53,6131.471698,70230.99177,3450,1514594,439.0127536
2174,476,5,8220.4,69457.90546,202,59781,295.9455446
2175,777,4,11951.5,75479.14157,286,89963,314.5559441
2176,18355,272,7989.496324,61482.67774,8786,2871078,326.7787389
2177,5563,82,7301.329268,57821.20564,2553,870072,340.8037603
2178,1492,16,7657.375,71768.40952,566,184395,325.7862191
2179,1719,18,12042.72222,66100.6306,608,226338,372.2664474
2190,7416,95,8913.852632,59587.262,3048,1656820,543.5761155
2191,2260,42,7736.52381,65864.48053,948,420107,443.1508439
2192,4680,63,8701.492063,57516.38205,1930,756865,392.1580311
2193,6341,82,8120.353659,70732.00315,2875,1489763,518.1784348
2194,8388,90,8548.377778,52909.36826,2571,918600,357.2928821
2195,7650,87,8712.655172,50941.05739,2772,1262819,455.5624098
2196,10296,146,8955.69863,57336.31556,4416,1893018,428.6725543
2197,2905,52,10158.55769,59767.53976,1254,562053,448.208134
2198,3258,58,7723.603448,66689.33241,1488,675274,453.813172
2199,5463,87,9589.264368,58653.45396,2394,949475,396.6060986
2200,13359,215,8325.64186,58044.26986,5645,2422769,429.1884854
2203,6600,73,8268.630137,76002.455,3180,1465588,460.8767296
2204,11617,134,8276.350746,72344.11053,5268,2854487,541.8540243
2205,6702,56,8498.732143,66448.81274,2638,1048582,397.4912813
2206,8205,115,9039.582609,77224.98525,3684,1606751,436.143051
2207,11238,189,7517.179894,68560.36154,5094,2473864,485.6427169
2208,5117,73,7639.575342,68955.09283,2270,977370,430.5594714
2209,6237,92,7912.184783,65651.49543,2774,1266784,456.6633021
2210,11512,211,8238.327014,71021.91209,5270,3141675,596.1432638
2211,7108,115,8582.243478,66874.06626,3326,1426969,429.0345761
2212,6233,99,9041.414141,65425.24098,2875,1311984,456.3422609
2213,9194,147,7218.92517,71635.04068,4452,1744345,391.8115454
2214,1872,38,6960.552632,67357.99038,942,301801,320.3832272
2216,12336,130,7563.438462,63876.9272,4780,2574575,538.6140167
2217,11806,163,8744.736196,68497.96646,4868,2275988,467.5406738
2218,6971,107,7127.906542,63699.65256,2842,1210033,425.768121
2219,5740,113,7817.044248,82520.78728,2595,1392872,536.7522158
2220,12130,125,8562.624,62370.56521,4066,2111738,519.3649779
2221,7430,107,8343.056075,90690.43742,3195,2107148,659.514241
2222,5502,56,7279.035714,67740.31776,2431,1024016,421.2324146
2223,9999,130,7680.138462,82958.54515,4825,2756265,571.2466321
2224,6259,134,8321.156716,86606.56894,2642,1542884,583.983346
2225,2583,34,7333.676471,94756.41696,1342,722607,538.4552906
2226,5918,90,7583.166667,82173.61389,3098,1483706,478.9238218
2227,6776,130,7665.553846,81693.77287,3321,1425639,429.2800361
2228,8321,163,8393.742331,79019.13736,3725,1593757,427.8542282
2229,13700,272,7885.709559,95961.47657,6302,12711214,2017.012694
2230,15138,219,7903.447489,105084.1719,6813,13895484,2039.554381
2231,1044,18,10022.16667,76937.06705,441,101481,230.1156463
2232,15133,314,7677.60828,76081.77129,7663,3317682,432.9481926
2233,14010,271,7175.649446,72394.26281,7479,2702395,361.3310603
2234,15742,196,7514.709184,80158.45096,7814,3517958,450.2121833
2250,27381,668,8189.067365,67678.58902,12259,5354803,436.8058569
2251,13179,392,8285.385204,69919.69975,5912,2190511,370.519452
2256,5443,189,8466.153439,66524.27522,2588,1334758,515.7488408
2257,10307,314,8367.764331,66292.53847,4587,3611322,787.294964
2258,2331,34,8333.029412,71732.97812,1036,356052,343.6795367
2259,20686,475,7960.252632,64636.71701,9405,2470533,262.6829346
2260,10429,221,8530.072398,79484.83536,4578,1974892,431.3875055
2261,21503,597,7997.376884,61617.67033,9525,2498601,262.320315
2262,6764,186,7872.182796,58615.58604,3322,676571,203.6637568
2263,7408,221,8504.348416,59078.81857,3526,813745,230.7841747
2264,4794,154,8568.155844,65506.90592,2001,798575,399.087956
2265,1934,53,7324.396226,66502.06929,826,468470,567.1549637
2267,1015,37,8205.72973,76815.56749,484,122702,253.5165289
2278,1138,16,6352.8125,64245.91916,586,152752,260.668942
2280,10874,205,7469.643902,76686.81212,5036,1740161,345.5442812
2281,5123,127,8203.629921,69576.25766,2346,829764,353.6930946
2282,6371,143,8508.41958,79594.63397,3113,1508057,484.4384838
2283,9019,221,8243.230769,74657.61936,4044,1370006,338.7749753
2284,4013,93,9193.376344,66885.23299,1834,500991,273.1684842
2285,12401,241,7765.273859,65356.30119,6066,1707901,281.5530828
2286,1480,41,8187.243902,63002.38919,848,158294,186.6674528
2287,14193,278,7766.330935,66988.81068,6737,2149963,319.1276533
2289,8428,145,7717.303448,72755.74644,4037,1581155,391.665841
2290,13968,269,8269.557621,72383.69559,6511,2395069,367.8496391
2291,6947,83,7206.843373,96957.67266,3280,1488459,453.7984756
2292,1107,21,9176.857143,66132.03613,514,135733,264.0719844
2293,1266,16,9535.1875,69348.67615,582,223863,384.6443299
2294,864,15,7452.933333,65421.42824,406,113558,279.6995074
2295,2195,63,8015.031746,72621.70706,1167,313091,268.2870608
2296,839,18,7123.722222,64425.59952,407,150905,370.7739558
2297,653,13,6894.461538,63483.90505,297,101984,343.3804714
2298,3478,63,9688.730159,62511.37895,1673,554578,331.4871488
2299,4078,64,8565.46875,67126.65694,1901,734582,386.418727
2300,5612,54,9662.851852,111283.4687,2349,1859673,791.6871009
2302,258,6,8260.166667,72807.25581,121,37473,309.6942149
2303,3888,47,7566.234043,81912.93107,1750,1020103,582.916
2304,6039,112,8085.75,61960.91422,2872,908259,316.2461699
2305,5699,112,7981.294643,80085.19512,2787,1552264,556.9659132
2306,653,26,8408.576923,49258.03369,264,51873,196.4886364
2307,1255,30,7563.166667,57865.20797,558,143281,256.7759857
2308,33,0,0,56273.48485,11,2239,203.5454545
2309,59,0,0,95389.9661,25,11498,459.92
2311,294,0,0,62308.65646,112,29936,267.2857143
2312,439,10,8670.7,59170.75171,123,30283,246.203252
2315,5221,187,7984.716578,70911.04846,2325,1275671,548.6756989
2316,2108,56,8385.678571,71719.06404,953,232847,244.3305352
2317,2192,87,7566.954023,68835.60447,971,693540,714.2533471
2318,4827,97,6642.57732,69033.40336,2269,628253,276.8854121
2319,2052,66,7440.333333,63599.29922,984,385145,391.4075203
2320,13085,245,7610.212245,80131.06076,5916,2317061,391.6600744
2321,5539,83,6939.53012,74874.74129,2541,744698,293.072806
2322,7265,154,8256.266234,67590.06456,3454,1012340,293.0920672
2323,10383,206,7533.490291,70311.99268,4925,1518876,308.4012183
2324,8279,252,8052.757937,65527.80771,3816,1191766,312.307652
2325,9029,201,8063.124378,68377.51888,4215,973326,230.919573
2326,2432,44,8128.568182,63007.39104,1055,274520,260.2085308
2327,2505,61,8358.409836,61762.82475,1120,236840,211.4642857
2328,991,22,7032.454545,75299.88698,446,113778,255.1076233
2329,706,24,8969.791667,67430.3881,221,176531,798.7828054
2330,8704,106,8386,90988.10041,4303,1454449,338.0081339
2333,5430,88,8037.5,84638.41013,3141,842504,268.2279529
2334,1065,16,8381.5,73528.56901,541,114647,211.9168207
2335,2507,39,7630.794872,81700.86039,1275,457528,358.8454902
2336,1094,22,8748.727273,78883.19287,589,141868,240.8624788
2337,3294,51,7713.843137,154415.1928,1415,2471664,1746.759011
2338,444,13,5934.153846,64962.55405,166,55670,335.3614458
2339,243,2,11510,61581.68313,70,36790,525.5714286
2340,19573,536,7940.218284,62213.55086,7365,3015626,409.453632
2341,425,13,7817,61230.93176,154,32107,208.487013
2342,174,3,9612.333333,61497.68966,47,16445,349.893617
2343,1732,40,7294.425,62323.38684,574,217539,378.9878049
2344,289,5,5795.4,58638.05882,75,22339,297.8533333
2345,289,3,7405.333333,62262.79585,93,40063,430.7849462
2346,909,31,9156.741935,57903.73487,249,78799,316.4618474
2347,478,14,6366.785714,56507.80335,142,37483,263.9647887
2350,9587,204,8463.941176,64810.02983,3607,2141205,593.624896
2351,43,0,0,79557.4186,16,4053,253.3125
2352,1037,26,8670.923077,60100.24494,355,113909,320.8704225
2353,390,14,8422.071429,57324.96154,126,36467,289.4206349
2354,1257,20,8812.6,58526.75497,311,110794,356.2508039
2355,169,2,11519,56217.73373,45,19118,424.8444444
2356,33,2,13091,50126.63636,7,5710,815.7142857
2357,1282,33,8105.484848,57637.80577,329,151961,461.887538
2358,1324,26,9171.692308,56379.48716,419,155133,370.2458234
2359,193,4,9230.5,48692.36269,39,15299,392.2820513
2360,4939,154,8167.012987,56370.01134,1556,656398,421.8496144
2361,190,5,6914.8,48419.43158,46,8957,194.7173913
2365,1238,24,9656.75,59636.50081,299,77945,260.6856187
2369,216,8,9548.625,51193.23148,48,5992,124.8333333
2370,2252,67,7118.880597,55321.79663,752,225477,299.8364362
2371,276,6,10143.5,54075.56522,68,18644,274.1764706
2372,1408,41,8071.658537,56931.19673,419,115272,275.1121718
2379,109,4,8247.75,73672.82569,28,20011,714.6785714
2380,3886,85,9006.882353,70097.06485,1357,373103,274.9469418
2381,422,5,7274.2,66727.54265,131,51021,389.4732824
2382,469,7,5687.142857,70447.1258,123,33010,268.3739837
2386,117,0,0,59327.17094,17,6118,359.8823529
2387,85,2,4295.5,56590.83529,23,21476,933.7391304
2388,1035,22,7935.363636,66496.28309,239,88049,368.4058577
