,avg tax income,avg income,avg gross tax paid,avg salary,Median_Tot_hhd_inc_weekly,postcode,Median_Tot_fam_inc_weekly,avg net tax paid,High_yr_schl_comp_Yr_11_eq_F,prediction,profitable
220,71629.74476,74657.61936,16394.08593,63513.88366,1027,2283,1264,16801.75762,633,1,1
221,63966.25044,66885.23299,13236.14104,61552.57089,994,2284,1230,13582.33342,284,1,1
222,62631.81171,65356.30119,12577.39263,61858.46874,1260,2285,1504,13016.22119,663,0,0
223,60262.19527,63002.38919,11720.22162,59427.99074,1169,2286,1289,12198.02297,96,0,0
224,64312.76355,66988.81068,13258.67071,62328.63428,1228,2287,1484,13697.27957,783,1,1
225,69728.66362,72755.74644,15179.93438,66101.17487,1333,2289,1672,15621.33021,403,1,1
226,69230.2956,72383.69559,15212.51035,64109.88381,1181,2290,1479,15682.58885,795,1,1
227,92751.01497,96957.67266,24699.54003,74454.93508,1537,2291,2134,25413.45905,286,1,1
228,63598.217,66132.03613,12910.63866,62230.84895,1131,2292,1408,13362.51671,53,0,0
229,66124.09005,69348.67615,14050.59447,62579.40741,1208,2293,1566,14503.65245,57,1,1
230,69924.45467,72621.70706,15199.94579,67399.58759,900,2295,1232,15643.5262,125,1,1
231,59937.74641,62511.37895,11678.37072,59000.61667,991,2298,1277,12083.10322,213,0,0
232,64442.61672,67126.65694,13404.91661,60788.20136,976,2299,1334,13804.97548,217,0,0
233,106488.4845,111283.4687,31018.84706,72177.68604,1468,2300,2122,31800.80114,195,1,1
234,78455.68981,81912.93107,18961.18364,66891.51496,1030,2303,1765,19622.17207,197,1,1
235,59450.666,61960.91422,11453.45131,58805.84645,1013,2304,1332,11882.14191,318,0,0
236,76706.85962,80085.19512,18068.36276,68823.94532,1337,2305,1823,18611.8398,246,1,1
237,47320.28943,49258.03369,7415.672282,47022.57778,566,2306,722,7519.727412,76,0,0
238,55615.18645,57865.20797,10155.05423,54483.49876,878,2307,1134,10464.23267,103,0,0
239,67467.68052,70911.04846,14864.07835,60948.04747,914,2315,1161,15022.42118,423,1,1
240,68942.05313,71719.06404,15658.74288,59051.51276,981,2316,1196,16047.42647,153,1,1
241,65576.67609,68835.60447,14086.62546,59564.85369,866,2317,1068,14168.74863,180,1,1
242,66189.65797,69033.40336,13955.03066,63772.32349,1381,2318,1519,14324.43692,330,1,1
243,60593.96784,63599.29922,12002.69396,58374.86987,864,2319,1000,12104.25926,171,0,0
244,75015.63676,80131.06076,17379.07,71087.04878,1358,2320,1623,17986.4846,786,1,1
245,71802.54541,74874.74129,16046.54938,69517.96787,1451,2321,1646,16639.1132,309,1,1
246,64959.03813,67590.06456,13506.419,62152.42341,1206,2322,1412,13974.83992,417,0,0
247,67490.97775,70311.99268,14446.30617,65206.79125,1199,2323,1486,14928.77184,732,1,1
248,62774.73825,65527.80771,12920.70162,58198.01808,936,2324,1134,13155.59524,697,1,1
249,65501.41145,68377.51888,13805.71348,64034.87416,964,2325,1200,14224.1071,726,0,0
250,60393.18215,63007.39104,11912.7754,60026.63692,969,2326,1163,12276.05715,188,1,1
251,59194.12695,61762.82475,11397.62819,59072.35126,869,2327,1067,11758.25389,194,0,0
252,72380.73966,75299.88698,16196.71948,74849.03939,1305,2328,1610,16822.57215,73,1,1
253,87881.09099,90988.10041,22082.33812,85467.20127,1684,2330,1933,22898.83272,609,1,1
254,81330.56243,84638.41013,19376.37808,81373.65049,1430,2333,1723,20145.24788,409,1,1
255,70259.00094,73528.56901,15358.54272,70274.82174,1330,2334,1478,16022.6723,66,0,0
