postcode,tax individuals,avg tax income,avg gross tax paid,avg net tax paid,avg salary,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2197,2905,56899.50843,10671.34458,11017.66024,57178.56415,52,10158.55769,59767.53976,1254,562053,448.208134
2198,3258,63618.41007,13194.85692,13642.08717,61338.78679,58,7723.603448,66689.33241,1488,675274,453.813172
2199,5463,56013.51272,10406.62413,10755.24144,55850.49622,87,9589.264368,58653.45396,2394,949475,396.6060986
2200,13359,55311.57355,10232.77856,10573.90912,54925.77901,215,8325.64186,58044.26986,5645,2422769,429.1884854
2203,6600,72987.73909,16441.32074,17080.235,70835.2641,73,8268.630137,76002.455,3180,1465588,460.8767296
2204,11617,69411.61832,15188.96744,15825.76293,66638.39979,134,8276.350746,72344.11053,5268,2854487,541.8540243
2205,6702,63551.68159,13050.31647,13594.93405,63212.29316,56,8498.732143,66448.81274,2638,1048582,397.4912813
2206,8205,73773.7972,17006.07704,17639.85899,67276.20341,115,9039.582609,77224.98525,3684,1606751,436.143051
2207,11238,65655.49235,13852.62412,14297.49706,63026.15936,189,7517.179894,68560.36154,5094,2473864,485.6427169
2208,5117,66095.77995,14095.38702,14607.40492,62625.95312,73,7639.575342,68955.09283,2270,977370,430.5594714
2209,6237,63081.32612,12958.78595,13388.22142,61419.80313,92,7912.184783,65651.49543,2774,1266784,456.6633021
2210,11512,68016.039,14872.7053,15340.38542,63903.65535,211,8238.327014,71021.91209,5270,3141675,596.1432638
2211,7108,64095.84904,13166.41446,13652.94752,62845.61498,115,8582.243478,66874.06626,3326,1426969,429.0345761
2212,6233,62750.49912,12633.06433,13076.67672,61655.78836,99,9041.414141,65425.24098,2875,1311984,456.3422609
2213,9194,68748.21296,14945.37424,15404.47281,65376.32788,147,7218.92517,71635.04068,4452,1744345,391.8115454
2214,1872,64451.27724,13279.78152,13704.52564,62745.92299,38,6960.552632,67357.99038,942,301801,320.3832272
2216,12336,61043.44561,12264.7378,12654.7273,59368.47521,130,7563.438462,63876.9272,4780,2574575,538.6140167
2217,11806,65567.93368,13904.13106,14369.88921,62918.34439,163,8744.736196,68497.96646,4868,2275988,467.5406738
2218,6971,60981.08937,12113.91479,12553.69875,60515.07112,107,7127.906542,63699.65256,2842,1210033,425.768121
2219,5740,78692.80209,19012.93972,19581.67213,70110.0491,113,7817.044248,82520.78728,2595,1392872,536.7522158
2220,12130,59873.76232,11963.60747,12335.6981,57537.05498,125,8562.624,62370.56521,4066,2111738,519.3649779
2221,7430,86692.11063,22357.45828,23110.59112,71706.16935,107,8343.056075,90690.43742,3195,2107148,659.514241
2222,5502,65067.92221,13679.00582,14126.66558,63031.86379,56,7279.035714,67740.31776,2431,1024016,421.2324146
2223,9999,79688.25403,19274.51946,19866.42934,72260.40218,130,7680.138462,82958.54515,4825,2756265,571.2466321
2224,6259,82090.15322,20462.46923,21116.92459,70328.79626,134,8321.156716,86606.56894,2642,1542884,583.983346
2225,2583,90755.61092,23600.23616,24296.69609,81828.05609,34,7333.676471,94756.41696,1342,722607,538.4552906
2226,5918,78851.84488,18669.57401,19223.82072,74746.46558,90,7583.166667,82173.61389,3098,1483706,478.9238218
2227,6776,78036.91824,18465.31198,19079.55505,74364.42958,130,7665.553846,81693.77287,3321,1425639,429.2800361
2228,8321,75504.26319,17722.57926,18327.66723,69537.85613,163,8393.742331,79019.13736,3725,1593757,427.8542282
2229,13700,91209.0046,24337.33474,25067.03511,74100.44568,272,7885.709559,95961.47657,6302,12711214,2017.012694
2230,15138,100010.9862,28154.21796,28961.80777,75160.96119,219,7903.447489,105084.1719,6813,13895484,2039.554381
2231,1044,73520.80556,16957.04215,17557.61877,67663.55864,18,10022.16667,76937.06705,441,101481,230.1156463
2232,15133,72819.391,16398.07018,16970.32948,69903.48921,314,7677.60828,76081.77129,7663,3317682,432.9481926
2233,14010,69170.99151,14935.96095,15426.57459,68055.07264,271,7175.649446,72394.26281,7479,2702395,361.3310603
2234,15742,76538.45477,17890.17046,18389.62635,71426.2374,196,7514.709184,80158.45096,7814,3517958,450.2121833
2250,27381,64687.83302,13574.65969,13954.55885,60945.29098,668,8189.067365,67678.58902,12259,5354803,436.8058569
2251,13179,66641.23545,14292.92942,14612.04613,62955.33827,392,8285.385204,69919.69975,5912,2190511,370.519452
2256,5443,63596.73526,13213.57597,13456.48282,59853.63033,189,8466.153439,66524.27522,2588,1334758,515.7488408
2257,10307,63094.46105,13133.49452,13398.65926,58981.51174,314,8367.764331,66292.53847,4587,3611322,787.294964
2258,2331,68547.89747,15039.46418,15508.72115,62431.91213,34,8333.029412,71732.97812,1036,356052,343.6795367
2259,20686,61635.98627,12434.02263,12806.8891,59439.86839,475,7960.252632,64636.71701,9405,2470533,262.6829346
2260,10429,75618.01256,17894.67399,18362.76949,66705.85685,221,8530.072398,79484.83536,4578,1974892,431.3875055
2261,21503,58539.97754,11287.55012,11556.13859,57183.24982,597,7997.376884,61617.67033,9525,2498601,262.320315
2262,6764,55671.55855,10215.47375,10434.2086,55453.35067,186,7872.182796,58615.58604,3322,676571,203.6637568
2263,7408,56350.49487,10524.96477,10683.12702,54595.4935,221,8504.348416,59078.81857,3526,813745,230.7841747
2264,4794,62651.02899,12797.80455,13082.063,59903.22167,154,8568.155844,65506.90592,2001,798575,399.087956
2265,1934,63511.19338,13110.35522,13398.7668,60880.91719,53,7324.396226,66502.06929,826,468470,567.1549637
2267,1015,73723.33202,17082.95271,17170.80296,67075.20247,37,8205.72973,76815.56749,484,122702,253.5165289
2278,1138,61671.71705,12252.77065,12734.06239,60855.09501,16,6352.8125,64245.91916,586,152752,260.668942
2280,10874,73528.2391,17015.33033,17451.50129,65097.4519,205,7469.643902,76686.81212,5036,1740161,345.5442812
2281,5123,66462.00332,14127.78743,14457.11029,63411.27852,127,8203.629921,69576.25766,2346,829764,353.6930946
2282,6371,76369.31659,17861.21931,18395.34155,69437.7979,143,8508.41958,79594.63397,3113,1508057,484.4384838
2283,9019,71629.74476,16394.08593,16801.75762,63513.88366,221,8243.230769,74657.61936,4044,1370006,338.7749753
2284,4013,63966.25044,13236.14104,13582.33342,61552.57089,93,9193.376344,66885.23299,1834,500991,273.1684842
2285,12401,62631.81171,12577.39263,13016.22119,61858.46874,241,7765.273859,65356.30119,6066,1707901,281.5530828
2286,1480,60262.19527,11720.22162,12198.02297,59427.99074,41,8187.243902,63002.38919,848,158294,186.6674528
2287,14193,64312.76355,13258.67071,13697.27957,62328.63428,278,7766.330935,66988.81068,6737,2149963,319.1276533
2289,8428,69728.66362,15179.93438,15621.33021,66101.17487,145,7717.303448,72755.74644,4037,1581155,391.665841
2290,13968,69230.2956,15212.51035,15682.58885,64109.88381,269,8269.557621,72383.69559,6511,2395069,367.8496391
