postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll,profitable
4552,38,2.87,0.89,2616.35,30,2646.35,68.85,0.79,69.64,65.48,2,0.42,38,0
4553,12,3,0.58,640.9,120,760.9,53.41,10,63.41,61.1,2,0.25,12,0
4554,4,2.75,0.75,273.15,100,373.15,68.29,25,93.29,51.33,2,0.75,4,1
4555,27,2.7,0.7,1482,15,1497,54.89,0.56,55.44,57.65,2,0.19,27,0
4556,147,3.07,0.67,9410,495.25,9905.25,64.01,3.37,67.38,61.36,2,0.32,147,0
4557,39,2.92,0.77,2439.95,56,2495.95,62.56,1.44,64,62.86,2,0.31,39,0
4558,49,3.04,0.61,3081.25,95,3176.25,62.88,1.94,64.82,63.32,2,0.29,49,0
4559,20,2.85,0.7,1159.5,20,1179.5,57.98,1,58.98,61.21,2,0.25,20,0
4560,110,3.07,0.6,8431.6,357,8788.6,76.65,3.25,79.9,61.86,2,0.45,110,1
4561,17,3.18,0.65,1447.8,38,1485.8,85.16,2.24,87.4,61.15,2,0.41,17,1
4562,16,3.25,0.63,1118.7,100,1218.7,69.92,6.25,76.17,58.8,2,0.5,16,1
4563,32,3.44,0.53,2478.7,50,2528.7,77.46,1.56,79.02,64.38,2,0.44,32,1
4564,37,3.14,0.76,1966.35,0,1966.35,53.14,0,53.14,58.86,2,0.24,37,0
4565,50,3.1,0.72,2450,128,2578,49,2.56,51.56,60.67,2,0.22,50,0
4566,23,2.87,0.7,1772.55,65,1837.55,77.07,2.83,79.89,69.82,2,0.35,23,1
4567,35,3.14,0.71,2200.3,231,2431.3,62.87,6.6,69.47,61.58,2,0.31,35,0
4568,10,3.5,0.4,603.6,20,623.6,60.36,2,62.36,61.75,2,0.2,10,0
4569,7,3.43,0.43,511.95,69.15,581.1,73.14,9.88,83.01,60.33,2,0.57,7,1
4570,98,3.18,0.56,6665.3,75,6740.3,68.01,0.77,68.78,60.62,2,0.32,98,0
4572,8,3,0.75,470.5,20,490.5,58.81,2.5,61.31,57.33,2,0.25,8,0
4573,64,2.98,0.7,4188.95,20,4208.95,65.45,0.31,65.76,58.66,2,0.3,64,0
4574,5,3.2,0.8,103.95,100,203.95,20.79,20,40.79,58.75,2,0.2,5,0
4575,69,3.06,0.68,4620.6,16,4636.6,66.97,0.23,67.2,60.67,2,0.35,69,0
4580,22,3.23,0.64,1397.15,95,1492.15,63.51,4.32,67.83,66.46,2,0.27,22,0
4581,5,2.8,1,244.45,0,244.45,48.89,0,48.89,64.5,2,0,5,0
4600,1,4,0,147.1,0,147.1,147.1,0,147.1,64,2,1,1,1
4601,4,3.25,0.25,164,0,164,41,0,41,72.67,2,0,4,0
4605,10,3.2,0.6,667,0,667,66.7,0,66.7,68.25,2,0.4,10,0
4606,12,3.33,0.67,545.5,0,545.5,45.46,0,45.46,74.57,2,0.17,12,0
4610,45,3.07,0.62,2634.2,115,2749.2,58.54,2.56,61.09,57.56,2,0.16,45,0
4613,1,3,0,67,0,67,67,0,67,63,2,0,1,0
4614,7,3.29,0.86,558.35,0,558.35,79.76,0,79.76,67.2,2,0.29,7,1
4615,13,3,0.69,636.9,40,676.9,48.99,3.08,52.07,71.33,2,0.15,13,0
4621,6,3,0.67,399,0,399,66.5,0,66.5,70,2,0.33,6,0
4625,11,3.36,0.45,499.6,118,617.6,45.42,10.73,56.15,59,2,0.36,11,0
4626,5,3.6,0.8,500.3,0,500.3,100.06,0,100.06,64.5,2,0.6,5,1
4627,2,3,1,114.6,0,114.6,57.3,0,57.3,64,2,0.5,2,0
4630,5,3,0.8,263,20,283,52.6,4,56.6,63.6,2,0.2,5,0
4650,127,3.17,0.62,8357.55,119,8476.55,65.81,0.94,66.74,61.35,2,0.34,127,0
4655,180,3.07,0.67,11481.4,338,11819.4,63.79,1.88,65.66,64.04,2,0.32,180,0
4659,16,3,0.69,1534.8,0,1534.8,95.93,0,95.93,68.13,2,0.44,16,1
4660,30,2.83,0.83,1732.95,30,1762.95,57.77,1,58.77,60.61,2,0.2,30,0
4662,1,3,1,10,0,10,10,0,10,43,2,0,1,0
4670,283,3.1,0.69,17256.95,238.95,17495.9,60.98,0.84,61.82,61.86,2,0.24,283,0
4671,4,3.75,0.5,317.5,0,317.5,79.38,0,79.38,57.25,2,0.5,4,1
4677,4,3.25,0.75,187,50,237,46.75,12.5,59.25,73.25,2,0.25,4,0
4680,152,3.09,0.63,11195,167.65,11362.65,73.65,1.1,74.75,57.03,2,0.41,152,0
4695,3,3.67,1,289.3,0,289.3,96.43,0,96.43,67,2,0.33,3,1
4700,60,3.05,0.67,4064.75,245,4309.75,67.75,4.08,71.83,56.4,2,0.38,60,0
4701,168,3.07,0.63,11115.5,255,11370.5,66.16,1.52,67.68,57.28,2,0.33,168,0
4702,35,3.06,0.57,2608.8,30,2638.8,74.54,0.86,75.39,60.5,2,0.31,35,1
4703,82,3.11,0.76,5273.8,120,5393.8,64.31,1.46,65.78,64.08,2,0.34,82,0
4709,3,3,0.67,227,0,227,75.67,0,75.67,34,2,0.67,3,1
4710,19,3.05,0.74,1204.5,246,1450.5,63.39,12.95,76.34,63.77,2,0.32,19,1
4711,5,2.6,1,253,0,253,50.6,0,50.6,57.75,2,0,5,0
4714,7,3.29,0.71,260.35,50,310.35,37.19,7.14,44.34,57,2,0,7,0
4715,10,2.6,0.9,836.05,0,836.05,83.61,0,83.61,58.67,2,0.5,10,1
4717,11,3.36,0.73,752.45,200,952.45,68.4,18.18,86.59,49.78,2,0.55,11,1
4718,4,3,0.75,161.8,0,161.8,40.45,0,40.45,60,2,0,4,0
4719,2,2.5,0,207.5,0,207.5,103.75,0,103.75,38,2,1,2,1
4720,36,2.97,0.67,2755.9,0,2755.9,76.55,0,76.55,54.08,2,0.36,36,1
4721,9,2.67,0.89,754.15,0,754.15,83.79,0,83.79,53,2,0.44,9,1
4722,3,4.33,0.67,290.2,0,290.2,96.73,0,96.73,65.33,2,1,3,1
4723,3,3.33,1,190,0,190,63.33,0,63.33,49.67,2,0.33,3,0
4725,2,3.5,0.5,58,20,78,29,10,39,52,2,0,2,0
4730,6,3,0.83,340.95,0,340.95,56.83,0,56.83,50,2,0.17,6,0
4735,4,2.75,0.25,254.25,25,279.25,63.56,6.25,69.81,70.33,2,0.5,4,0
4737,11,2.82,0.55,745.9,10,755.9,67.81,0.91,68.72,66.33,2,0.36,11,0
4740,237,3.11,0.63,19578.6,353.35,19931.95,82.61,1.49,84.1,58.17,2,0.38,237,1
4741,8,3.63,0.63,510.5,40,550.5,63.81,5,68.81,60,2,0.38,8,0
4742,1,4,1,177,0,177,177,0,177,51,2,1,1,1
4744,6,2.83,0.83,354.15,10,364.15,59.03,1.67,60.69,44.25,2,0.33,6,0
4745,2,3,0.5,100,0,100,50,0,50,56,2,0,2,0
4746,3,3.33,0.67,97,75,172,32.33,25,57.33,55,2,0,3,0
4750,14,3.5,0.71,966.65,12.5,979.15,69.05,0.89,69.94,60.33,2,0.29,14,0
4751,16,3.25,0.63,1095.5,65,1160.5,68.47,4.06,72.53,58.67,2,0.38,16,0
4753,7,3.29,0.71,401.55,10,411.55,57.36,1.43,58.79,60,2,0.29,7,0
4754,5,3,0.8,265.05,10,275.05,53.01,2,55.01,73,2,0.4,5,0
4756,1,3,0,130.75,0,130.75,130.75,0,130.75,,2,1,1,1
4799,3,3.33,0.67,226,0,226,75.33,0,75.33,71.5,2,0.67,3,1
4800,28,2.86,0.68,1954.05,30,1984.05,69.79,1.07,70.86,59.25,2,0.43,28,0
4802,19,3,0.84,1137.75,29,1166.75,59.88,1.53,61.41,56.33,2,0.32,19,0
4804,3,3.67,1,168,0,168,56,0,56,46,2,0.33,3,0
4805,25,3.16,0.68,1403.55,100,1503.55,56.14,4,60.14,59.19,2,0.2,25,0
4806,21,3.19,0.76,1385.05,20,1405.05,65.95,0.95,66.91,59.88,2,0.29,21,0
4807,42,3.1,0.57,3068,25,3093,73.05,0.6,73.64,61.94,2,0.45,42,0
4808,6,3.33,0.67,364.85,0,364.85,60.81,0,60.81,61.4,2,0.33,6,0
4810,31,2.84,0.68,2021.65,145,2166.65,65.21,4.68,69.89,63.55,2,0.42,31,0
4811,25,3.04,0.84,1443.1,0,1443.1,57.72,0,57.72,53.29,2,0.24,25,0
4812,41,3,0.66,2356.45,167,2523.45,57.47,4.07,61.55,62,2,0.29,41,0
4814,114,3.11,0.61,8227.9,210,8437.9,72.17,1.84,74.02,59.09,2,0.38,114,0
4815,50,2.94,0.84,2422.3,12,2434.3,48.45,0.24,48.69,57.19,2,0.26,50,0
4816,13,2.69,0.62,694.9,10,704.9,53.45,0.77,54.22,63.25,2,0.08,13,0
4817,95,3,0.63,7179.35,79,7258.35,75.57,0.83,76.4,57.64,2,0.37,95,1
4818,42,2.76,0.81,2600.63,181.8,2782.43,61.92,4.33,66.25,50.44,2,0.31,42,0
4819,12,3.08,0.5,851.6,0,851.6,70.97,0,70.97,67.22,2,0.42,12,0
4820,18,3.33,0.67,1573.35,165,1738.35,87.41,9.17,96.58,57.36,2,0.39,18,1
4821,2,3.5,0.5,78,0,78,39,0,39,57,2,0,2,0
4822,2,3,1,51,0,51,25.5,0,25.5,54.5,2,0,2,0
4824,2,3,0.5,24,0,24,12,0,12,57.5,2,0,2,0
4825,23,2.83,0.87,1378.95,0,1378.95,59.95,0,59.95,55.11,2,0.3,23,0
4849,3,4,0.67,353.5,0,353.5,117.83,0,117.83,69,2,0.67,3,1
4850,45,3.27,0.49,3647.05,140,3787.05,81.05,3.11,84.16,60.28,2,0.42,45,1
4852,15,3.07,0.73,1080.35,0,1080.35,72.02,0,72.02,56,2,0.47,15,0
